Name,Flows,Throughput,Protocol
13_best_att.pcap,7,42000,TCP
13_best_wifi.pcap,6,12000,TCP
13_low_att.pcap,8,43000,TCP
13_low_wifi.pcap,3,4263,TCP
13_medium_att.pcap,3,26000,TCP
13_medium_wifi.pcap,5,32000,TCP
1983_best_wifi.pcap,2,33000,TCP
1983_high_att.pcap,2,33000,TCP
1983_low_att.pcap,6,29000,TCP
1983_low_wifi.pcap,5,45000,TCP
1983_medium_att.pcap,6,34000,TCP
1983_medium_wifi.pcap,6,32000,TCP
goliath_best_att.pcap,2,24000,TCP
goliath_best_wifi.pcap,1,15000,TCP
goliath_better_att.pcap,1,20000,TCP
goliath_better_wifi.pcap,1,18000,TCP
goliath_good_att.pcap,1,22000,TCP
goliath_good_wifi.pcap,1,19000,TCP
highcastle_best_att.pcap,2,10000,TCP
highcastle_best_wifi.pcap,1,16000,TCP
highcastle_better_att.pcap,3,22000,TCP
highcastle_better_wifi.pcap,1,15000,TCP
highcastle_good_att.pcap,2,16000,TCP
highcastle_good_wifi.pcap,1,16000,TCP
nature_1080_wifi.pcap,1,82000,UDP
nature_480_wifi.pcap,5,108000,UDP
nature_360_wifi.pcap,5,118000,UDP
dubai_1080_wifi.pcap,3,14000,UDP
dubai_480_wifi.pcap,4,86000,UDP
dubai_360_wifi.pcap,5,92000,UDP
nature_1080_att.pcap,5,56000,UDP
nature_480_att.pcap,4,90000,UDP
nature_360_att.pcap,3,116000,UDP
dubai_1080_att.pcap,4,82000,UDP
dubai_480_att.pcap,2,89000,UDP
dubai_360_att.pcap,4,100000,UDP
